PAIMS_ADDRESS.CIVIC_ADDRESS,PAIMS_ADDRESS.CITY,Data Conversion.CIVIC_ADDRESS,Data Conversion.CITY,ErrorCode,ErrorColumn
2008-hidden,Canim Lake,2008-hidden,Canim Lake,-1071607778,0
2009-hidden,Ashcroft,2009-hidden,Ashcroft,-1071607778,0
2012-hidden,Spences Bridge,2012-hidden,Spences Bridge,-1071607778,0
2011-hidden,83 Mile,2011-hidden,83 Mile,-1071607778,0
2013-hidden,Kamloops,2013-hidden,Kamloops,-1071607778,0
2014-hidden,Kamloops,2014-hidden,Kamloops,-1071607778,0
2015-hidden,Montrose,2015-hidden,Montrose,-1071607778,0
2016-hidden,Monte Creek,2016-hidden,Monte Creek,-1071607778,0
2017-hidden,Monte Creek,2017-hidden,Monte Creek,-1071607778,0
2018-hidden,Clearwater,2018-hidden,Clearwater,-1071607778,0
2019-hidden,Ymir,2019-hidden,Ymir,-1071607778,0
2020-hidden,Ymir,2020-hidden,Ymir,-1071607778,0
2021-hidden,Ymir,2021-hidden,Ymir,-1071607778,0
2022-hidden,Ymir,2022-hidden,Ymir,-1071607778,0
2023-hidden,Revelstoke,2023-hidden,Revelstoke,-1071607778,0
2024-hidden,Revelstoke,2024-hidden,Revelstoke,-1071607778,0
2025-hidden,Revelstoke,2025-hidden,Revelstoke,-1071607778,0
2026-hidden,Revelstoke,2026-hidden,Revelstoke,-1071607778,0
2027-hidden,Revelstoke,2027-hidden,Revelstoke,-1071607778,0
2028-hidden,Vernon,2028-hidden,Vernon,-1071607778,0
2029-hidden,Kimberley,2029-hidden,Kimberley,-1071607778,0
2030-hidden,Trail,2030-hidden,Trail,-1071607778,0
2031-hidden,Train,2031-hidden,Train,-1071607778,0
2036-hidden,Trail,2036-hidden,Trail,-1071607778,0
1458-hidden,Abbotsford,1458-hidden,Abbotsford,-1071607778,0
1459-hidden,Abbotsford,1459-hidden,Abbotsford,-1071607778,0
1460-hidden,Abbotsford,1460-hidden,Abbotsford,-1071607778,0
1461-hidden,Abbotsford,1461-hidden,Abbotsford,-1071607778,0
1462-hidden,Abbotsford,1462-hidden,Abbotsford,-1071607778,0
1463-hidden,Abbotsford,1463-hidden,Abbotsford,-1071607778,0
1466-hidden,Vancouver,1466-hidden,Vancouver,-1071607778,0
1467-hidden,Vancouver,1467-hidden,Vancouver,-1071607778,0
1476-hidden,Abbotsford,1476-hidden,Abbotsford,-1071607778,0
1477-hidden,Abbotsford,1477-hidden,Abbotsford,-1071607778,0
1486-hidden,Kent,1486-hidden,Kent,-1071607778,0
1487-hidden,Boston Bar,1487-hidden,Boston Bar,-1071607778,0
1488-hidden,Boston Bar,1488-hidden,Boston Bar,-1071607778,0
1496-hidden,Richmond,1496-hidden,Richmond,-1071607778,0
2165-hidden,Erickson,2165-hidden,Erickson,-1071607778,0
2166-hidden,Erickson,2166-hidden,Erickson,-1071607778,0
2167-hidden,Erickson,2167-hidden,Erickson,-1071607778,0
2168-hidden,Erickson,2168-hidden,Erickson,-1071607778,0
2169-hidden,Burton,2169-hidden,Burton,-1071607778,0
640-hidden,Delta,640-hidden,Delta,-1071607778,0
650-hidden,North Vancouver,650-hidden,North Vancouver,-1071607778,0
651-hidden,North Vancouver,651-hidden,North Vancouver,-1071607778,0
652-hidden,Golden,652-hidden,Golden,-1071607778,0
653-hidden,North Vancouver,653-hidden,North Vancouver,-1071607778,0
654-hidden,North Vancouver,654-hidden,North Vancouver,-1071607778,0
655-hidden,North Vancouver,655-hidden,North Vancouver,-1071607778,0
656-hidden,North Vancouver,656-hidden,North Vancouver,-1071607778,0
657-hidden,North Vancouver,657-hidden,North Vancouver,-1071607778,0
658-hidden,Burnaby,658-hidden,Burnaby,-1071607778,0
659-hidden,Surrey,659-hidden,Surrey,-1071607778,0
661-hidden,Spillimacheen,661-hidden,Spillimacheen,-1071607778,0
672-hidden,Clanwilliam,672-hidden,Clanwilliam,-1071607778,0
673-hidden,Revelstoke,673-hidden,Revelstoke,-1071607778,0
674-hidden,Golden,674-hidden,Golden,-1071607778,0
675-hidden,Revelstoke,675-hidden,Revelstoke,-1071607778,0
677-hidden,Revelstoke,677-hidden,Revelstoke,-1071607778,0
681-hidden,Revelstoke,681-hidden,Revelstoke,-1071607778,0
682-hidden,Revelstoke,682-hidden,Revelstoke,-1071607778,0
683-hidden,Revelstoke,683-hidden,Revelstoke,-1071607778,0
684-hidden,Revelstoke,684-hidden,Revelstoke,-1071607778,0
3548-hidden,Prince George,3548-hidden,Prince George,-1071607778,0
3549-hidden,Quesnel,3549-hidden,Quesnel,-1071607778,0
3550-hidden,Coquitlam,3550-hidden,Coquitlam,-1071607778,0
2508-hidden,VICTORIA,2508-hidden,VICTORIA,-1071607778,0
2509-hidden,VICTORIA,2509-hidden,VICTORIA,-1071607778,0
2510-hidden,VICTORIA,2510-hidden,VICTORIA,-1071607778,0
2511-hidden,Ladysmith,2511-hidden,Ladysmith,-1071607778,0
2512-hidden,Ladysmith,2512-hidden,Ladysmith,-1071607778,0
2513-hidden,VICTORIA,2513-hidden,VICTORIA,-1071607778,0
2514-hidden,VICTORIA,2514-hidden,VICTORIA,-1071607778,0
2515-hidden,VICTORIA,2515-hidden,VICTORIA,-1071607778,0
2516-hidden,VICTORIA,2516-hidden,VICTORIA,-1071607778,0
2517-hidden,VICTORIA,2517-hidden,VICTORIA,-1071607778,0
2526-hidden,Fernie,2526-hidden,Fernie,-1071607778,0
2527-hidden,Fernie,2527-hidden,Fernie,-1071607778,0
2528-hidden,Revelstoke,2528-hidden,Revelstoke,-1071607778,0
2529-hidden,Kaslo,2529-hidden,Kaslo,-1071607778,0
2530-hidden,Wardner,2530-hidden,Wardner,-1071607778,0
2531-hidden,Wardner,2531-hidden,Wardner,-1071607778,0
2532-hidden,Wardner,2532-hidden,Wardner,-1071607778,0
2533-hidden,Wardner,2533-hidden,Wardner,-1071607778,0
2534-hidden,Wardner,2534-hidden,Wardner,-1071607778,0
2535-hidden,Wardner,2535-hidden,Wardner,-1071607778,0
2536-hidden,Robson,2536-hidden,Robson,-1071607778,0
2537-hidden,Nelson,2537-hidden,Nelson,-1071607778,0
2538-hidden,Castlegar,2538-hidden,Castlegar,-1071607778,0
234-hidden,Drynoch,234-hidden,Drynoch,-1071607778,0
235-hidden,Nanaimo,235-hidden,Nanaimo,-1071607778,0
2743-hidden,Nelson,2743-hidden,Nelson,-1071607778,0
2744-hidden,Castlegar,2744-hidden,Castlegar,-1071607778,0
2745-hidden,Nelson,2745-hidden,Nelson,-1071607778,0
2746-hidden,Trail,2746-hidden,Trail,-1071607778,0
2747-hidden,Trail,2747-hidden,Trail,-1071607778,0
2748-hidden,Trail,2748-hidden,Trail,-1071607778,0
2749-hidden,Trail,2749-hidden,Trail,-1071607778,0
2750-hidden,Trail,2750-hidden,Trail,-1071607778,0
2751-hidden,Trail,2751-hidden,Trail,-1071607778,0
2752-hidden,Trail,2752-hidden,Trail,-1071607778,0
2753-hidden,Castlegar,2753-hidden,Castlegar,-1071607778,0
2754-hidden,Castlegar,2754-hidden,Castlegar,-1071607778,0
2755-hidden,Trail,2755-hidden,Trail,-1071607778,0
2756-hidden,Trail,2756-hidden,Trail,-1071607778,0
2757-hidden,Trail,2757-hidden,Trail,-1071607778,0
2758-hidden,Trail,2758-hidden,Trail,-1071607778,0
2759-hidden,Athalmer,2759-hidden,Athalmer,-1071607778,0
2760-hidden,Sparwood,2760-hidden,Sparwood,-1071607778,0
2766-hidden,Greenwood,2766-hidden,Greenwood,-1071607778,0
2767-hidden,Castlegar,2767-hidden,Castlegar,-1071607778,0
2768-hidden,Nelson,2768-hidden,Nelson,-1071607778,0
2769-hidden,Kimberley,2769-hidden,Kimberley,-1071607778,0
2770-hidden,Sparwood,2770-hidden,Sparwood,-1071607778,0
2771-hidden,Athalmer,2771-hidden,Athalmer,-1071607778,0
2772-hidden,Creston,2772-hidden,Creston,-1071607778,0
2773-hidden,Fernie,2773-hidden,Fernie,-1071607778,0
2774-hidden,Fernie,2774-hidden,Fernie,-1071607778,0
2775-hidden,Fernie,2775-hidden,Fernie,-1071607778,0
2776-hidden,Fernie,2776-hidden,Fernie,-1071607778,0
2777-hidden,Fernie,2777-hidden,Fernie,-1071607778,0
2786-hidden,Revelstoke,2786-hidden,Revelstoke,-1071607778,0
2787-hidden,Revelstoke,2787-hidden,Revelstoke,-1071607778,0
2171-hidden,Trail,2171-hidden,Trail,-1071607778,0
2176-hidden,Trail,2176-hidden,Trail,-1071607778,0
2186-hidden,Langley,2186-hidden,Langley,-1071607778,0
2187-hidden,Langley,2187-hidden,Langley,-1071607778,0
2196-hidden,Ladysmith,2196-hidden,Ladysmith,-1071607778,0
2197-hidden,Ladysmith,2197-hidden,Ladysmith,-1071607778,0
2198-hidden,Ladysmith,2198-hidden,Ladysmith,-1071607778,0
2199-hidden,Ladysmith,2199-hidden,Ladysmith,-1071607778,0
2216-hidden,VICTORIA,2216-hidden,VICTORIA,-1071607778,0
2226-hidden,Ymir,2226-hidden,Ymir,-1071607778,0
2227-hidden,Castlegar,2227-hidden,Castlegar,-1071607778,0
2228-hidden,,2228-hidden,,-1071607778,0
2229-hidden,Victoria,2229-hidden,Victoria,-1071607778,0
2230-hidden,Parson,2230-hidden,Parson,-1071607778,0
2231-hidden,Parson,2231-hidden,Parson,-1071607778,0
2232-hidden,Revelstoke,2232-hidden,Revelstoke,-1071607778,0
2236-hidden,Qualicum Beach,2236-hidden,Qualicum Beach,-1071607778,0
2237-hidden,Campbell River,2237-hidden,Campbell River,-1071607778,0
2238-hidden,Salt Spring Island,2238-hidden,Salt Spring Island,-1071607778,0
2246-hidden,Golden,2246-hidden,Golden,-1071607778,0
2247-hidden,Invermere,2247-hidden,Invermere,-1071607778,0
2248-hidden,New Denver,2248-hidden,New Denver,-1071607778,0
2256-hidden,Golden,2256-hidden,Golden,-1071607778,0
2266-hidden,Nanaimo,2266-hidden,Nanaimo,-1071607778,0
2267-hidden,Nanaimo,2267-hidden,Nanaimo,-1071607778,0
2276-hidden,,2276-hidden,,-1071607778,0
1-hidden,Nanaimo,1-hidden,Nanaimo,-1071607778,0
2-hidden,Prince George,2-hidden,Prince George,-1071607778,0
3-hidden,Courtenay,3-hidden,Courtenay,-1071607778,0
11-hidden,Salt Spring Island,11-hidden,Salt Spring Island,-1071607778,0
685-hidden,Golden,685-hidden,Golden,-1071607778,0
686-hidden,Monte Creek,686-hidden,Monte Creek,-1071607778,0
687-hidden,Monte Creek,687-hidden,Monte Creek,-1071607778,0
688-hidden,Revelstoke,688-hidden,Revelstoke,-1071607778,0
689-hidden,Illecillewaet,689-hidden,Illecillewaet,-1071607778,0
690-hidden,Burnaby,690-hidden,Burnaby,-1071607778,0
691-hidden,Coquitlam,691-hidden,Coquitlam,-1071607778,0
692-hidden,Coquitlam,692-hidden,Coquitlam,-1071607778,0
711-hidden,Quilchena,711-hidden,Quilchena,-1071607778,0
712-hidden,Quilchena,712-hidden,Quilchena,-1071607778,0
721-hidden,Vavenby, B.C.,721-hidden,Vavenby, B.C.,-1071607778,0
722-hidden,Vavenby, B.C.,722-hidden,Vavenby, B.C.,-1071607778,0
723-hidden,Vavenby, B.C.,723-hidden,Vavenby, B.C.,-1071607778,0
724-hidden,Vavenby, B.C.,724-hidden,Vavenby, B.C.,-1071607778,0
725-hidden,Enderby,725-hidden,Enderby,-1071607778,0
726-hidden,Sicamous,726-hidden,Sicamous,-1071607778,0
727-hidden,Vernon,727-hidden,Vernon,-1071607778,0
728-hidden,Vernon,728-hidden,Vernon,-1071607778,0
729-hidden,Vernon,729-hidden,Vernon,-1071607778,0
730-hidden,Vernon,730-hidden,Vernon,-1071607778,0
731-hidden,Logan Lake,731-hidden,Logan Lake,-1071607778,0
732-hidden,Logan Lake,732-hidden,Logan Lake,-1071607778,0
733-hidden,Salmon Arm,733-hidden,Salmon Arm,-1071607778,0
734-hidden,Salmon Arm,734-hidden,Salmon Arm,-1071607778,0
1687-hidden,Penticton,1687-hidden,Penticton,-1071607778,0
236-hidden,Nanaimo,236-hidden,Nanaimo,-1071607778,0
237-hidden,Salmon Arm,237-hidden,Salmon Arm,-1071607778,0
238-hidden,,238-hidden,,-1071607778,0
239-hidden,,239-hidden,,-1071607778,0
240-hidden,Prichard,240-hidden,Prichard,-1071607778,0
241-hidden,Westwold,241-hidden,Westwold,-1071607778,0
242-hidden,Agassiz,242-hidden,Agassiz,-1071607778,0
243-hidden,Spuzzum,243-hidden,Spuzzum,-1071607778,0
244-hidden,Spuzzum,244-hidden,Spuzzum,-1071607778,0
245-hidden,Spuzzum,245-hidden,Spuzzum,-1071607778,0
247-hidden,Spuzzum,247-hidden,Spuzzum,-1071607778,0
248-hidden,Spuzzum,248-hidden,Spuzzum,-1071607778,0
249-hidden,Spuzzum,249-hidden,Spuzzum,-1071607778,0
250-hidden,Vernon,250-hidden,Vernon,-1071607778,0
251-hidden,North Bend,251-hidden,North Bend,-1071607778,0
252-hidden,North Bend,252-hidden,North Bend,-1071607778,0
253-hidden,Carpenter Lake,253-hidden,Carpenter Lake,-1071607778,0
878-hidden,Greenwood,878-hidden,Greenwood,-1071607778,0
879-hidden,Williams Lake,879-hidden,Williams Lake,-1071607778,0
311-hidden,Yale,311-hidden,Yale,-1071607778,0
312-hidden,Tulameen,312-hidden,Tulameen,-1071607778,0
313-hidden,Yale,313-hidden,Yale,-1071607778,0
314-hidden,Yale,314-hidden,Yale,-1071607778,0
315-hidden,Vancouver,315-hidden,Vancouver,-1071607778,0
316-hidden,Port Moody,316-hidden,Port Moody,-1071607778,0
317-hidden,Port Moody,317-hidden,Port Moody,-1071607778,0
318-hidden,Port Moody,318-hidden,Port Moody,-1071607778,0
321-hidden,Trail,321-hidden,Trail,-1071607778,0
322-hidden,Nelson,322-hidden,Nelson,-1071607778,0
323-hidden,Trail,323-hidden,Trail,-1071607778,0
326-hidden,Salmo,326-hidden,Salmo,-1071607778,0
327-hidden,Salmo,327-hidden,Salmo,-1071607778,0
328-hidden,Salmo,328-hidden,Salmo,-1071607778,0
329-hidden,Fernie,329-hidden,Fernie,-1071607778,0
330-hidden,Sparwood,330-hidden,Sparwood,-1071607778,0
331-hidden,Golden,331-hidden,Golden,-1071607778,0
341-hidden,Fife,341-hidden,Fife,-1071607778,0
351-hidden,Mission,351-hidden,Mission,-1071607778,0
1247-hidden,Monte Creek,1247-hidden,Monte Creek,-1071607778,0
21-hidden,Gibsons,21-hidden,Gibsons,-1071607778,0
31-hidden,Prince George,31-hidden,Prince George,-1071607778,0
41-hidden,Metchosin,41-hidden,Metchosin,-1071607778,0
42-hidden,Salt Spring Island,42-hidden,Salt Spring Island,-1071607778,0
61-hidden,Cultus Lake,61-hidden,Cultus Lake,-1071607778,0
52-hidden,Westbank,52-hidden,Westbank,-1071607778,0
62-hidden,Courtenay,62-hidden,Courtenay,-1071607778,0
71-hidden,Duncan,71-hidden,Duncan,-1071607778,0
72-hidden,Port Alberni,72-hidden,Port Alberni,-1071607778,0
74-hidden,Nanoose,74-hidden,Nanoose,-1071607778,0
75-hidden,Port Alberni,75-hidden,Port Alberni,-1071607778,0
76-hidden,Cobble Hill,76-hidden,Cobble Hill,-1071607778,0
77-hidden,Westbank,77-hidden,Westbank,-1071607778,0
78-hidden,Kamloops,78-hidden,Kamloops,-1071607778,0
79-hidden,Ladysmith,79-hidden,Ladysmith,-1071607778,0
80-hidden,Nanaimo,80-hidden,Nanaimo,-1071607778,0
81-hidden,Port Alberni,81-hidden,Port Alberni,-1071607778,0
82-hidden,Nanoose,82-hidden,Nanoose,-1071607778,0
83-hidden,Osoyoos,83-hidden,Osoyoos,-1071607778,0
84-hidden, Cobble Hill,84-hidden, Cobble Hill,-1071607778,0
85-hidden,Parksville,85-hidden,Parksville,-1071607778,0
86-hidden,Cobble Hill,86-hidden,Cobble Hill,-1071607778,0
87-hidden,Osoyoos,87-hidden,Osoyoos,-1071607778,0
88-hidden,Cassidy,88-hidden,Cassidy,-1071607778,0
89-hidden,Nanaimo,89-hidden,Nanaimo,-1071607778,0
458-hidden,Fruitvale,458-hidden,Fruitvale,-1071607778,0
459-hidden,Penticton,459-hidden,Penticton,-1071607778,0
460-hidden,Terrac,460-hidden,Terrac,-1071607778,0
464-hidden,Hazelton,464-hidden,Hazelton,-1071607778,0
1688-hidden,Princeton,1688-hidden,Princeton,-1071607778,0
1689-hidden,Princeton,1689-hidden,Princeton,-1071607778,0
1696-hidden,Francois Lake,1696-hidden,Francois Lake,-1071607778,0
1706-hidden,Qualicum Beach,1706-hidden,Qualicum Beach,-1071607778,0
1707-hidden,Sparwood,1707-hidden,Sparwood,-1071607778,0
1716-hidden,Creston,1716-hidden,Creston,-1071607778,0
1717-hidden,Revelstoke,1717-hidden,Revelstoke,-1071607778,0
1718-hidden,New Denver,1718-hidden,New Denver,-1071607778,0
1719-hidden,Nelson,1719-hidden,Nelson,-1071607778,0
1726-hidden,Langley,1726-hidden,Langley,-1071607778,0
1727-hidden,Langley,1727-hidden,Langley,-1071607778,0
1736-hidden,Langley,1736-hidden,Langley,-1071607778,0
1737-hidden,Langley,1737-hidden,Langley,-1071607778,0
1738-hidden,Abbotsford,1738-hidden,Abbotsford,-1071607778,0
1746-hidden,Princeton,1746-hidden,Princeton,-1071607778,0
1747-hidden,Princeton,1747-hidden,Princeton,-1071607778,0
1748-hidden,Princeton,1748-hidden,Princeton,-1071607778,0
1751-hidden,Princeton,1751-hidden,Princeton,-1071607778,0
1752-hidden,Kelowna,1752-hidden,Kelowna,-1071607778,0
1753-hidden,Princeton,1753-hidden,Princeton,-1071607778,0
1754-hidden,Princeton,1754-hidden,Princeton,-1071607778,0
1755-hidden,Princeton,1755-hidden,Princeton,-1071607778,0
1756-hidden,Osoyoos,1756-hidden,Osoyoos,-1071607778,0
1757-hidden,Osoyoos,1757-hidden,Osoyoos,-1071607778,0
1769-hidden,Princeton,1769-hidden,Princeton,-1071607778,0
2389-hidden,Port Alberni,2389-hidden,Port Alberni,-1071607778,0
2390-hidden,Port Alberni,2390-hidden,Port Alberni,-1071607778,0
880-hidden,Williams Lake,880-hidden,Williams Lake,-1071607778,0
885-hidden,Vernon,885-hidden,Vernon,-1071607778,0
895-hidden,Richmond,895-hidden,Richmond,-1071607778,0
896-hidden,Richmond,896-hidden,Richmond,-1071607778,0
897-hidden,Fort St. John,897-hidden,Fort St. John,-1071607778,0
898-hidden,Chilliwack,898-hidden,Chilliwack,-1071607778,0
899-hidden,Chilliwack,899-hidden,Chilliwack,-1071607778,0
900-hidden,Kent,900-hidden,Kent,-1071607778,0
901-hidden,Richmond,901-hidden,Richmond,-1071607778,0
902-hidden,Richmond,902-hidden,Richmond,-1071607778,0
905-hidden,Port Edward,905-hidden,Port Edward,-1071607778,0
906-hidden,Terrace,906-hidden,Terrace,-1071607778,0
907-hidden,Terrace,907-hidden,Terrace,-1071607778,0
908-hidden,Terrace,908-hidden,Terrace,-1071607778,0
909-hidden,Vernon,909-hidden,Vernon,-1071607778,0
911-hidden,Terrace,911-hidden,Terrace,-1071607778,0
912-hidden,Magna Bay,912-hidden,Magna Bay,-1071607778,0
915-hidden,McBride,915-hidden,McBride,-1071607778,0
925-hidden,SAANICH,925-hidden,SAANICH,-1071607778,0
926-hidden,SAANICH,926-hidden,SAANICH,-1071607778,0
1898-hidden,Rural,1898-hidden,Rural,-1071607778,0
1248-hidden,Monte Creek,1248-hidden,Monte Creek,-1071607778,0
1249-hidden,Kamloops,1249-hidden,Kamloops,-1071607778,0
1250-hidden,Monte Creek,1250-hidden,Monte Creek,-1071607778,0
1252-hidden,Kamloops,1252-hidden,Kamloops,-1071607778,0
1254-hidden,Kelowna,1254-hidden,Kelowna,-1071607778,0
1255-hidden,Kelowna,1255-hidden,Kelowna,-1071607778,0
1256-hidden,Vernon,1256-hidden,Vernon,-1071607778,0
1257-hidden,Coldstream,1257-hidden,Coldstream,-1071607778,0
1258-hidden,Westbank BC,1258-hidden,Westbank BC,-1071607778,0
1259-hidden,Clearwater,1259-hidden,Clearwater,-1071607778,0
1260-hidden,Williams Lake,1260-hidden,Williams Lake,-1071607778,0
1261-hidden,Sorrento,1261-hidden,Sorrento,-1071607778,0
1262-hidden,Sicamous,1262-hidden,Sicamous,-1071607778,0
1263-hidden,Sicamous,1263-hidden,Sicamous,-1071607778,0
1265-hidden,Cedar,1265-hidden,Cedar,-1071607778,0
1275-hidden,near Rorison Creek,1275-hidden,near Rorison Creek,-1071607778,0
1276-hidden,Summerland,1276-hidden,Summerland,-1071607778,0
1285-hidden,Tappen,1285-hidden,Tappen,-1071607778,0
1286-hidden,Vernon,1286-hidden,Vernon,-1071607778,0
1306-hidden,Courtenay,1306-hidden,Courtenay,-1071607778,0
1327-hidden,Nanaimo,1327-hidden,Nanaimo,-1071607778,0
1328-hidden,Port Alberni,1328-hidden,Port Alberni,-1071607778,0
1329-hidden,Pt. Alberni,1329-hidden,Pt. Alberni,-1071607778,0
1336-hidden,Burnaby,1336-hidden,Burnaby,-1071607778,0
1337-hidden,Maple Ridge,1337-hidden,Maple Ridge,-1071607778,0
1346-hidden,Burns Lake,1346-hidden,Burns Lake,-1071607778,0
1356-hidden,Burns Lake,1356-hidden,Burns Lake,-1071607778,0
1366-hidden,North Vancouver,1366-hidden,North Vancouver,-1071607778,0
2037-hidden,Trail,2037-hidden,Trail,-1071607778,0
2038-hidden,Princeton,2038-hidden,Princeton,-1071607778,0
465-hidden,Hazelton,465-hidden,Hazelton,-1071607778,0
466-hidden,Hazelton,466-hidden,Hazelton,-1071607778,0
468-hidden,Fernie,468-hidden,Fernie,-1071607778,0
472-hidden,Kimberly,472-hidden,Kimberly,-1071607778,0
474-hidden,,474-hidden,,-1071607778,0
481-hidden,Aspen Grove,481-hidden,Aspen Grove,-1071607778,0
482-hidden,Aspen Grove,482-hidden,Aspen Grove,-1071607778,0
483-hidden,Fernie,483-hidden,Fernie,-1071607778,0
484-hidden,Kimberly,484-hidden,Kimberly,-1071607778,0
485-hidden,Port Alberni,485-hidden,Port Alberni,-1071607778,0
486-hidden,Port Alberni,486-hidden,Port Alberni,-1071607778,0
487-hidden,Nanaimo,487-hidden,Nanaimo,-1071607778,0
491-hidden,Port Alberni,491-hidden,Port Alberni,-1071607778,0
492-hidden,Cedar,492-hidden,Cedar,-1071607778,0
493-hidden,Port Alberni,493-hidden,Port Alberni,-1071607778,0
494-hidden,Port Alberni,494-hidden,Port Alberni,-1071607778,0
495-hidden,Castlegar,495-hidden,Castlegar,-1071607778,0
496-hidden,Port Alberni,496-hidden,Port Alberni,-1071607778,0
497-hidden,Shoreacres,497-hidden,Shoreacres,-1071607778,0
498-hidden,Thrums,498-hidden,Thrums,-1071607778,0
499-hidden,Creston,499-hidden,Creston,-1071607778,0
500-hidden,Nelson,500-hidden,Nelson,-1071607778,0
511-hidden,Westbank,511-hidden,Westbank,-1071607778,0
512-hidden,Aspen Grove,512-hidden,Aspen Grove,-1071607778,0
522-hidden,Port Alberni,522-hidden,Port Alberni,-1071607778,0
524-hidden,Port Alberni,524-hidden,Port Alberni,-1071607778,0
1497-hidden,Richmond,1497-hidden,Richmond,-1071607778,0
1506-hidden,Lake Erock,1506-hidden,Lake Erock,-1071607778,0
2391-hidden,Port Alberni,2391-hidden,Port Alberni,-1071607778,0
2392-hidden,Port Alberni,2392-hidden,Port Alberni,-1071607778,0
2393-hidden,Port Alberni,2393-hidden,Port Alberni,-1071607778,0
2394-hidden,Creston,2394-hidden,Creston,-1071607778,0
2396-hidden,Sirdar,2396-hidden,Sirdar,-1071607778,0
2397-hidden,Sirdar,2397-hidden,Sirdar,-1071607778,0
2398-hidden,Sirdar,2398-hidden,Sirdar,-1071607778,0
2399-hidden,Sirdar,2399-hidden,Sirdar,-1071607778,0
2400-hidden,Sirdar,2400-hidden,Sirdar,-1071607778,0
2401-hidden,Sirdar,2401-hidden,Sirdar,-1071607778,0
2402-hidden,Sirdar,2402-hidden,Sirdar,-1071607778,0
2403-hidden,Sirdar,2403-hidden,Sirdar,-1071607778,0
2404-hidden,Sirdar,2404-hidden,Sirdar,-1071607778,0
2405-hidden,Sirdar,2405-hidden,Sirdar,-1071607778,0
2406-hidden,Qualicum Beach,2406-hidden,Qualicum Beach,-1071607778,0
2407-hidden,Meadowbrook,2407-hidden,Meadowbrook,-1071607778,0
2408-hidden,Port Alberni,2408-hidden,Port Alberni,-1071607778,0
2409-hidden,Port Alberni,2409-hidden,Port Alberni,-1071607778,0
2410-hidden,Robson,2410-hidden,Robson,-1071607778,0
2411-hidden,Port Alberni,2411-hidden,Port Alberni,-1071607778,0
2412-hidden,New Denver,2412-hidden,New Denver,-1071607778,0
2413-hidden,New Denver,2413-hidden,New Denver,-1071607778,0
2414-hidden,Port Alberni,2414-hidden,Port Alberni,-1071607778,0
2415-hidden,Brilliant,2415-hidden,Brilliant,-1071607778,0
2416-hidden,Port Alberni,2416-hidden,Port Alberni,-1071607778,0
2417-hidden,Port Alberni,2417-hidden,Port Alberni,-1071607778,0
2418-hidden,Needles,2418-hidden,Needles,-1071607778,0
2419-hidden,Port Alberni,2419-hidden,Port Alberni,-1071607778,0
2420-hidden,Needles,2420-hidden,Needles,-1071607778,0
2421-hidden,Port Alberni,2421-hidden,Port Alberni,-1071607778,0
2422-hidden,Port Alberni,2422-hidden,Port Alberni,-1071607778,0
2423-hidden,Port Alberni,2423-hidden,Port Alberni,-1071607778,0
2424-hidden,Port Alberni,2424-hidden,Port Alberni,-1071607778,0
1899-hidden,Chase,1899-hidden,Chase,-1071607778,0
1900-hidden,Vernon,1900-hidden,Vernon,-1071607778,0
1897-hidden,Queen Charlotte City,1897-hidden,Queen Charlotte City,-1071607778,0
1901-hidden,Sorrento,1901-hidden,Sorrento,-1071607778,0
1902-hidden,Sicamous,1902-hidden,Sicamous,-1071607778,0
1906-hidden,Sorrento,1906-hidden,Sorrento,-1071607778,0
1907-hidden,Chase,1907-hidden,Chase,-1071607778,0
1908-hidden,Grindrod,1908-hidden,Grindrod,-1071607778,0
1910-hidden,Grindrod,1910-hidden,Grindrod,-1071607778,0
1914-hidden,Telkwa,1914-hidden,Telkwa,-1071607778,0
1915-hidden,Telkwa,1915-hidden,Telkwa,-1071607778,0
1916-hidden,Telkwa,1916-hidden,Telkwa,-1071607778,0
1917-hidden,Telkwa,1917-hidden,Telkwa,-1071607778,0
1918-hidden,Telkwa,1918-hidden,Telkwa,-1071607778,0
1919-hidden,Telkwa,1919-hidden,Telkwa,-1071607778,0
1920-hidden,Burns Lake,1920-hidden,Burns Lake,-1071607778,0
1921-hidden,Sicamous,1921-hidden,Sicamous,-1071607778,0
1922-hidden,Creston,1922-hidden,Creston,-1071607778,0
1923-hidden,Chase,1923-hidden,Chase,-1071607778,0
1924-hidden,Chase,1924-hidden,Chase,-1071607778,0
1925-hidden,Chase,1925-hidden,Chase,-1071607778,0
1929-hidden,Terrace,1929-hidden,Terrace,-1071607778,0
1930-hidden,Telkwa,1930-hidden,Telkwa,-1071607778,0
1931-hidden,B.C.,1931-hidden,B.C.,-1071607778,0
1932-hidden,Golden,1932-hidden,Golden,-1071607778,0
1933-hidden,Revelstoke,1933-hidden,Revelstoke,-1071607778,0
1936-hidden,Malakwa,1936-hidden,Malakwa,-1071607778,0
2714-hidden,Victoria,2714-hidden,Victoria,-1071607778,0
2039-hidden,Princeton,2039-hidden,Princeton,-1071607778,0
2040-hidden,Princeton,2040-hidden,Princeton,-1071607778,0
2046-hidden,Crescent Valley,2046-hidden,Crescent Valley,-1071607778,0
2047-hidden,Erickson,2047-hidden,Erickson,-1071607778,0
2048-hidden,Trail,2048-hidden,Trail,-1071607778,0
2049-hidden,Trail,2049-hidden,Trail,-1071607778,0
